"date","hour","activity","workout","keywords","time","i0","i1","i2","i3","i4","i5","distance(km)","climb(m)","intensity","t-intensity","ahr","mhr","controls","spiked","rhr","sleep","weight(kg)","injured","sick","restday","shoes","route","description","private note"
"2010-01-01","","Skidor","","","02:07:00","","","02:07:00","","","","30.54","","2.0","","128","","","","","","","","","","Atomic RC11","","",""
"2010-01-02","","Running","","","00:30:40","","00:30:40","","","","","4.6","","1.0","","","","","","","","","","","","Puma Trailfox III","","",""
"2010-01-02","","Skidor","","","02:05:20","","","","02:05:20","","","29.87","","3.0","","128","","","","","","","","","","Madshus Nanosonic","","",""
"2010-01-03","","Note","","","","","","","","","","","","","","","","","","","","","1","","1","","","Vila idag efter en fin träningsvecka i Idre.
Tyvärr har det satt sina spår på mina tår. Både stortårna har rejäla blåsor (ena tån har ett öppet sår som är lika stort som en femkrona). Inte så nice. Får nog bli några dagars vila så tårna får en chans att läka...",""
"2010-01-04","","Note","","","","","","","","","","","","","","","","","","","","","1","","","","","Blev beordrad vila av Sara mormor pga tårna. Hon är gammal veteran-VM vinnare i orientering, så det är bara att lyda.

Tröstköpte ett par nya stavar.. :)",""
"2010-01-05","","Note","","","","","","","","","","","","","","","","","","","","","1","","","","","Ingen träning pga tårna. 
Kommer nog ta några dagar till innan de blir bra.",""
"2010-01-06","","Note","","","","","","","","","","","","","","","","","","","","","1","","","","","Resa hem till Linkan.

Tån (tårna) är fortfaranade nasty...
På begärnan av Ptr lägger jag ut lite bilder på den.

http://picasaweb.google.se/erima525/Vinter09#
 - OBS! Varning för starka bilder! -
",""
"2010-01-07","","Skidor","","","01:01:11","","","","01:01:11","","","15.7","","3.0","","","","","","","","","1","","","Atomic RC11","","Bättre i tårna. Bestämde mig därför för att dra till Landeryds golfbana och köra lite skidor. 

Körde på hyfsat i början. Märkte dock att pulsen var sjukt hög. Kan bero på infektionen i tån Valde därför att slå av på takten och köra vidare i lugnt tempo. Blev ett varv på 10k och ett på 5k. 

Testade de nya stavarna. Kändes mycket lätta och fina..",""
"2010-01-08","17","Ellipsmaskin","","","00:45:00","","","00:45:00","","","","","","2.0","","","","","","","","","1","","","","","Ville inte köra något högintensivt så det fick bli ellips på CH. Körde bara ben med hög belastning.",""
"2010-01-08","17","Styrka","","","00:10:00","","","","00:10:00","","","","","3.0","","","","","","","","","","","","","","Lite styrka i gymmet efteråt.",""
"2010-01-09","12","Ellipsmaskin","long","","02:00:01","","02:00:01","","","","","","","1.0","","","","","","","","","","","","","","Hade planerat ett tidigt skidpass, men eftersom termometern visade -22 grader så fick planerna ändras.
Istället drog jag och Ptr till gymmet på Ericsson, satte på vinterstudion och ställde oss på varsin ellipsmaskin. Lagom med 2h eftersom vi då han med damernas skidor samt herrarnas skidskytte.",""
"2010-01-09","18","Running","","","01:06:37","","","01:06:37","","","","11.54","","2.0","","125","","","","","","","","","","Puma Trailfox III","","Fick bli ett löppass på kvällen. Jag, Ptr, Dryml och Lillen körde en sväng runt vattentornet - vidingsjö - berga. 
Kallt, men det gick helt ok ändå.",""
"2010-01-10","","Skidor","","","01:54:17","","","","01:54:17","","","28.84","","3.0","","132","","","","","","","","","","Atomic RC11","","Jag, Sara och Ptr drog till Olstorp i gryningen (typ) för lite skidåkning. Vi ville köra innan skidorna på TV:n. 
Vi började på 5:an och svängde av till Vreta golfbana, körde 2 varv på 10:an där, avslutade varvet på 5:an och avslutade med ett varv på 2.5:an",""
"2010-01-11","18","Styrka","","","00:50:00","","","","00:50:00","","","","","3.0","","","","","","","","","","","","","","Rockgympa med Ptr som ledare.
Svettigt!",""
